MONTH,REGION,COUNTRYOFRESIDENCE,OVERNIGHTSTAYS
2022-01-01,Graubünden,Switzerland,392805
2022-01-01,Graubünden,Germany,80648
2022-01-01,Graubünden,France,4229
2022-01-01,Graubünden,Italy,10083
2022-01-01,Graubünden,Austria,3688
2022-01-01,Graubünden,United Kingdom,16282
2022-01-01,Graubünden,Irland,545
2022-01-01,Graubünden,Netherlands,12981
2022-01-01,Graubünden,Belgium,6373
2022-01-01,Graubünden,Luxembourg,1385
2022-01-01,Graubünden,Denmark,1223
2022-01-01,Graubünden,Sweden,1846
2022-01-01,Graubünden,Norway,456
2022-01-01,Graubünden,Finland,462
2022-01-01,Graubünden,Spain,1586
2022-01-01,Graubünden,Portugal,506
2022-01-01,Graubünden,Greece,908
2022-01-01,Graubünden,Turkey,1089
2022-01-01,Graubünden,Other European countries,1092
2022-01-01,Graubünden,Liechtenstein,827
2022-01-01,Graubünden,Iceland,52
2022-01-01,Graubünden,Poland,10201
2022-01-01,Graubünden,Hungary,416
2022-01-01,Graubünden,Belarus,103
2022-01-01,Graubünden,Bulgaria,215
2022-01-01,Graubünden,Malta,209
2022-01-01,Graubünden,Cyprus,299
2022-01-01,Graubünden,Chile,72
2022-01-01,Graubünden,United States,7968
2022-01-01,Graubünden,Canada,1401
2022-01-01,Graubünden,Mexico,302
2022-01-01,Graubünden,Brazil,7270
2022-01-01,Graubünden,Argentina,226
2022-01-01,Graubünden,Other South American countries,306
2022-01-01,Graubünden,Other Central American countries,384
2022-01-01,Graubünden,Egypt,31
2022-01-01,Graubünden,Other North African countries,135
2022-01-01,Graubünden,South Africa,232
2022-01-01,Graubünden,Other African countries,131
2022-01-01,Graubünden,Bahrain,26
2022-01-01,Graubünden,Israel,621
2022-01-01,Graubünden,India,162
2022-01-01,Graubünden,Japan,566
2022-01-01,Graubünden,Other South-East Asian countries,454
2022-01-01,Graubünden,Qatar,84
2022-01-01,Graubünden,Kuwait,201
2022-01-01,Graubünden,Australia,1031
2022-01-01,Graubünden,China,218
2022-01-01,Graubünden,Hong Kong,125
2022-01-01,Graubünden,Indonesia,69
2022-01-01,Graubünden,South Korea,353
2022-01-01,Graubünden,Malaysia,133
2022-01-01,Graubünden,Philippines,66
2022-01-01,Graubünden,"New Zealand, Oceania",139
2022-01-01,Graubünden,Singapore,1073
2022-01-01,Graubünden,Oman,25
2022-01-01,Graubünden,Taiwan (Chinese Taipei),0
2022-01-01,Graubünden,Thailand,208
2022-01-01,Graubünden,Other West Asian countries,355
2022-01-01,Graubünden,Estonia,254
2022-01-01,Graubünden,Latvia,429
2022-01-01,Graubünden,Lithuania,762
2022-01-01,Graubünden,Saudi Arabia,245
